,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link,Crop_string,District_string,soil_string
0,2,0,75,50,100,6.5,1000,20,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
1,2,0,80,50,100,6.5,1000,20,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
2,2,0,85,50,100,6.5,1000,20,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
3,2,0,90,50,100,6.5,1000,20,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
4,2,0,95,50,100,6.5,1000,20,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
5,2,0,100,50,100,6.5,1000,20,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
6,2,0,75,55,105,7.0,1100,25,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
7,2,0,80,55,105,7.0,1100,25,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
8,2,0,85,55,105,7.0,1100,25,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
9,2,0,90,55,105,7.0,1100,25,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
10,2,0,95,55,105,7.0,1100,25,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
11,2,0,100,55,105,7.0,1100,25,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
12,2,0,75,60,110,7.5,1200,30,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
13,2,0,80,60,110,7.5,1200,30,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
14,2,0,85,60,110,7.5,1200,30,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
15,2,0,90,60,110,7.5,1200,30,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
16,2,0,95,60,110,7.5,1200,30,11,Urea,https://youtu.be/2t5Am0xLTOo,Sugarcane,Khartoum,Black
